# Temp_mean_R,Temp_mean_S, mass_mean, normalized_mass_mean, masslossrate_mean, normlized_masslossrate_mean, reacr_mean
3.033329999999999771e+01, 3.093983333333333618e+01, 8.533419999999999561e+00, 9.994799633631845648e-01, 1.775000000000304112e-03, 2.078975293575092617e-04, -1.385983529050838214e-04
3.100000000000000000e+01, 3.126626666666666665e+01, 8.534603333333333097e+00, 9.996185617160896486e-01, 1.605000000000522675e-03, 1.879862166866782429e-04, -1.253241444578168107e-04
3.166670000000000229e+01, 3.162730000000000175e+01, 8.535560000000000258e+00, 9.997306116521001984e-01, 1.322499999999671161e-03, 1.548983000423608772e-04, -1.032655333615406512e-04
3.233330000000000126e+01, 3.208883333333333354e+01, 8.536366666666665992e+00, 9.998250927828127299e-01, 1.007499999999605933e-03, 1.180038089169424103e-04, -7.866920594462589733e-05
3.300000000000000000e+01, 3.261916666666666487e+01, 8.536903333333333066e+00, 9.998879500639894502e-01, 6.500000000002614797e-04, 7.613148962389421060e-05, -5.075432641593602412e-05
3.366669999999999874e+01, 3.321916666666666629e+01, 8.537233333333333007e+00, 9.999266014356446020e-01, 4.900000000005455547e-04, 5.739143063959183696e-05, -3.826095375969451595e-05
3.433330000000000126e+01, 3.385690000000000310e+01, 8.537556666666667127e+00, 9.999644719715088392e-01, 4.200000000000869704e-04, 4.919265483389127341e-05, -3.279510322262702005e-05
3.500000000000000000e+01, 3.452369999999999806e+01, 8.537793333333333123e+00, 9.999921916420898560e-01, 2.174999999997595523e-04, 2.547476768180311640e-05, -1.698317845455488140e-05
3.566669999999999874e+01, 3.522030000000000172e+01, 8.537846666666666806e+00, 9.999984383284179490e-01, 5.000000000032756020e-05, 5.856268432643257141e-06, -3.904178955072001855e-06
3.633330000000000126e+01, 3.591493333333333027e+01, 8.537860000000000227e+00, 1.000000000000000000e+00, -4.999999999366622205e-06, -5.856268431863044929e-07, 3.904178954572401494e-07
3.700000000000000000e+01, 3.663916666666666089e+01, 8.537840000000000984e+00, 9.999976574926270345e-01, -9.499999999995623057e-05, -1.112691002194416811e-05, 7.417940014631252410e-06
3.766669999999999874e+01, 3.737500000000000000e+01, 8.537733333333333618e+00, 9.999851641199707375e-01, -2.200000000014412649e-04, -2.576758110363033244e-05, 1.717838740239452378e-05
3.833330000000000126e+01, 3.811066666666666691e+01, 8.537546666666665729e+00, 9.999633007178222455e-01, -3.375000000005456968e-04, -3.952981192014693286e-05, 2.635320794674989031e-05
3.900000000000000000e+01, 3.885050000000000381e+01, 8.537283333333332891e+00, 9.999324577040772377e-01, -4.274999999984707699e-04, -5.007109509859271270e-05, 3.338073006575736912e-05
3.966669999999999874e+01, 3.959033333333332649e+01, 8.536976666666667768e+00, 9.998965392576907307e-01, -4.949999999999121769e-04, -5.797705748277813764e-05, 3.865137165520726725e-05
4.033330000000000126e+01, 4.033273333333332999e+01, 8.536623333333333008e+00, 9.998551549607668232e-01, -5.800000000011351631e-04, -6.793271381834969762e-05, 4.528847587886852821e-05
4.100000000000000000e+01, 4.108539999999999992e+01, 8.536203333333332921e+00, 9.998059623059329937e-01, -6.975000000002395950e-04, -8.169494463486629465e-05, 5.446329642322389475e-05
4.166669999999999874e+01, 4.183816666666666606e+01, 8.535693333333332689e+00, 9.997462283679203754e-01, -7.249999999987544186e-04, -8.491589227262503104e-05, 5.661059484846076018e-05
4.233330000000000126e+01, 4.258626666666665983e+01, 8.535236666666667915e+00, 9.996927411162360722e-01, -6.849999999998246381e-04, -8.023087752666646709e-05, 5.348725168446977207e-05
4.300000000000000000e+01, 4.333220000000000027e+01, 8.534779999999999589e+00, 9.996392538645514358e-01, -6.725000000007419487e-04, -7.876681041862269687e-05, 5.251120694571564940e-05
4.366669999999999874e+01, 4.407800000000000296e+01, 8.534340000000000259e+00, 9.995877187023446409e-01, -6.574999999999775468e-04, -7.700992988875168691e-05, 5.133995325917739549e-05
4.433330000000000126e+01, 4.482563333333333588e+01, 8.533903333333332952e+00, 9.995365739580330811e-01, -6.550000000009603696e-04, -7.671711646723656185e-05, 5.114474431150428657e-05
4.500000000000000000e+01, 4.557540000000000191e+01, 8.533466666666665645e+00, 9.994854292137216323e-01, -6.474999999999120348e-04, -7.583867620222304175e-05, 5.055911746815189289e-05
4.566669999999999874e+01, 4.631620000000000203e+01, 8.533039999999999736e+00, 9.994354557230967773e-01, -6.200000000000649436e-04, -7.261772856430826156e-05, 4.841181904285951632e-05
4.633330000000000126e+01, 4.705869999999999465e+01, 8.532639999999998892e+00, 9.993886055756359132e-01, -5.574999999993224264e-04, -6.529739302346518109e-05, 4.353159534892236948e-05
4.700000000000000000e+01, 4.779156666666667519e+01, 8.532296666666667306e+00, 9.993483925323989325e-01, -4.999999999992787991e-04, -5.856268432596444510e-05, 3.904178955066450740e-05
4.766669999999999874e+01, 4.853096666666666437e+01, 8.531973333333333187e+00, 9.993105219965345842e-01, -4.775000000001305978e-04, -5.592736353139200940e-05, 3.728490902094039328e-05
4.833330000000000126e+01, 4.926059999999998951e+01, 8.531660000000000466e+00, 9.992738227143570517e-01, -4.449999999995846167e-04, -5.212078905013488474e-05, 3.474719270007975425e-05
4.900000000000000000e+01, 4.998683333333332968e+01, 8.531380000000000408e+00, 9.992410276111344247e-01, -3.799999999998249223e-04, -4.450764008777667244e-05, 2.967176005852500964e-05
4.966669999999999874e+01, 5.071386666666666088e+01, 8.531153333333334032e+00, 9.992144791942400017e-01, -3.524999999999778311e-04, -4.128669244986188548e-05, 2.752446163323263306e-05
5.033330000000000126e+01, 5.143969999999999487e+01, 8.530910000000000437e+00, 9.991859786878679595e-01, -3.675000000007422329e-04, -4.304357297973288867e-05, 2.869571531982639812e-05
5.100000000000000000e+01, 5.216440000000000055e+01, 8.530663333333333043e+00, 9.991570877636003489e-01, -3.499999999996283861e-04, -4.099387902819071663e-05, 2.732925268544850184e-05
5.166669999999999874e+01, 5.289036666666666520e+01, 8.530443333333334266e+00, 9.991313201824970625e-01, -3.275000000004801848e-04, -3.835855823361828093e-05, 2.557237215572438771e-05
5.233330000000000126e+01, 5.360873333333333335e+01, 8.530226666666665736e+00, 9.991059430192889002e-01, -3.300000000008296297e-04, -3.865137165528945655e-05, 2.576758110356403009e-05
5.300000000000000000e+01, 5.432556666666666700e+01, 8.530003333333333160e+00, 9.990797850202899344e-01, -3.324999999998468070e-04, -3.894418507680458838e-05, 2.596279005123713901e-05
5.366669999999999874e+01, 5.503523333333333767e+01, 8.529783333333332607e+00, 9.990540174391864259e-01, -3.224999999997812949e-04, -3.777293139027593645e-05, 2.518195426015612526e-05
5.433330000000000126e+01, 5.574866666666665793e+01, 8.529573333333333451e+00, 9.990294211117696221e-01, -3.124999999983835153e-04, -3.660167770359124071e-05, 2.440111846907511151e-05
5.500000000000000000e+01, 5.646076666666666455e+01, 8.529366666666668095e+00, 9.990052152022482757e-01, -3.074999999990168931e-04, -3.601605086040493326e-05, 2.401070057361787136e-05
5.566669999999999874e+01, 5.716256666666667030e+01, 8.529163333333334762e+00, 9.989813997106223864e-01, -3.024999999996502709e-04, -3.543042401721863257e-05, 2.362028267810512006e-05
5.633330000000000126e+01, 5.786590000000000344e+01, 8.528963333333335228e+00, 9.989579746368920654e-01, -3.025000000009825385e-04, -3.543042401737467637e-05, 2.362028267827165351e-05
5.700000000000000000e+01, 5.857576666666667364e+01, 8.528760000000000119e+00, 9.989341591452658431e-01, -2.950000000012664714e-04, -3.455198375251719329e-05, 2.303465583503028213e-05
5.766669999999999874e+01, 5.927673333333333261e+01, 8.528570000000000206e+00, 9.989119053252220048e-01, -2.800000000005020695e-04, -3.279510322264619687e-05, 2.186340214838100593e-05
5.833330000000000126e+01, 5.997373333333333534e+01, 8.528386666666666116e+00, 9.988904323409690811e-01, -2.675000000000871125e-04, -3.133103611444636931e-05, 2.088735740962688325e-05
5.900000000000000000e+01, 6.066980000000000217e+01, 8.528213333333333424e+00, 9.988701306104027511e-01, -2.574999999986893329e-04, -3.015978242776168035e-05, 2.010652161854586950e-05
5.966669999999999874e+01, 6.136716666666666242e+01, 8.528043333333334530e+00, 9.988502192977319893e-01, -2.400000000002400213e-04, -2.811008847653159251e-05, 1.874005898433450668e-05
6.033330000000000126e+01, 6.206003333333332961e+01, 8.527893333333333103e+00, 9.988326504924340821e-01, -2.250000000008078871e-04, -2.635320794681663651e-05, 1.756880529785176392e-05
6.100000000000000000e+01, 6.274833333333333485e+01, 8.527743333333333453e+00, 9.988150816871362858e-01, -2.150000000007423751e-04, -2.518195426028798457e-05, 1.678796950688177247e-05
6.166669999999999874e+01, 6.344120000000000203e+01, 8.527606666666665447e+00, 9.987990745534203185e-01, -1.824999999988641264e-04, -2.137537977887481272e-05, 1.425025318591011114e-05
6.233330000000000126e+01, 6.412560000000000571e+01, 8.527500000000001634e+00, 9.987865811807644656e-01, -1.474999999979687004e-04, -1.727599187594651244e-05, 1.151732791732085204e-05
6.300000000000000000e+01, 6.481503333333333217e+01, 8.527410000000001489e+00, 9.987760398975856768e-01, -1.050000000000217426e-04, -1.229816370847281835e-05, 8.198775805656755011e-06
6.366669999999999874e+01, 6.550886666666667679e+01, 8.527360000000001605e+00, 9.987701836291531521e-01, -8.250000000220580887e-05, -9.662842914056426447e-06, 6.441895275988152036e-06
6.433329999999999416e+01, 6.618623333333333392e+01, 8.527299999999998548e+00, 9.987631561070337005e-01, -7.000000000045858428e-05, -8.198775805700560167e-06, 5.465850537123007058e-06
