# Temp_mean_R,Temp_mean_S, mass_mean, normalized_mass_mean, masslossrate_mean, normlized_masslossrate_mean, reacr_mean
3.000000000000000000e+01, 3.027584999999999837e+01, 9.624722499999998959e+00, 1.000000000000000000e+00, -1.567499999996613269e-03, -1.628618383539487467e-04, 5.428727945133715593e-05
3.033330000000000126e+01, 3.059365000000000023e+01, 9.624200000000000088e+00, 9.999457127205486628e-01, -1.601249999999332374e-03, -1.663684329599458530e-04, 5.545614432000967042e-05
3.066669999999999874e+01, 3.092064999999999841e+01, 9.623654999999999404e+00, 9.998890877113599807e-01, -1.751250000001647322e-03, -1.819532978744735385e-04, 6.065109929148659873e-05
3.100000000000000000e+01, 3.125457499999999911e+01, 9.623032499999998990e+00, 9.998244105219656896e-01, -1.957500000000500506e-03, -2.033824871314991994e-04, 6.779416237712165838e-05
3.133330000000000126e+01, 3.159154999999999802e+01, 9.622349999999999071e+00, 9.997534993866057373e-01, -2.347499999999058673e-03, -2.439031359084959500e-04, 8.130104530285064968e-05
3.166669999999999874e+01, 3.192422499999999985e+01, 9.621467499999999617e+00, 9.996618084313599883e-01, -2.538749999998479723e-03, -2.637738386741519058e-04, 8.792461289142128322e-05
3.200000000000000000e+01, 3.226085000000000491e+01, 9.620657500000000084e+00, 9.995776501608228948e-01, -2.452500000000412683e-03, -2.548125413486376149e-04, 8.493751378285674392e-05
3.233330000000000126e+01, 3.260725000000000051e+01, 9.619832499999999342e+00, 9.994919334037942749e-01, -2.501249999999899387e-03, -2.598776224457276024e-04, 8.662587414853817336e-05
3.266669999999999874e+01, 3.294922499999999843e+01, 9.618990000000000151e+00, 9.994043984125258184e-01, -2.564999999998818225e-03, -2.665011900341873220e-04, 8.883373001139505121e-05
3.300000000000000000e+01, 3.329092500000000143e+01, 9.618122500000000130e+00, 9.993142659437714848e-01, -2.617499999999495230e-03, -2.719558927542581545e-04, 9.065196425145360948e-05
3.333330000000000126e+01, 3.364202499999999674e+01, 9.617245000000000488e+00, 9.992230944840229112e-01, -2.655000000000740101e-03, -2.758521089829593089e-04, 9.195070299433671934e-05
3.366669999999999874e+01, 3.398232500000000300e+01, 9.616352499999999637e+00, 9.991303645377828113e-01, -2.700000000001701039e-03, -2.805275684573452482e-04, 9.350918948575204226e-05
3.400000000000000000e+01, 3.432310000000000372e+01, 9.615444999999999354e+00, 9.990360761050514071e-01, -2.729999999997900773e-03, -2.836445414398078616e-04, 9.454818047993640562e-05
