# Temp_mean_R,Temp_mean_S, mass_mean, normalized_mass_mean, masslossrate_mean, normlized_masslossrate_mean, reacr_mean
3.000000000000000000e+01, 3.072071111111111108e+01, 9.697743333333333382e+00, 1.000000000000000000e+00, -3.906666666644298402e-03, -4.028428606907137849e-04, 3.357023839090089723e-05
3.033330000000000126e+01, 3.103645555555555546e+01, 9.697417777777779690e+00, 9.999664297616090991e-01, -4.106666666672253996e-03, -4.234662153365838515e-04, 3.528885127807024347e-05
3.066669999999999874e+01, 3.135867777777777476e+01, 9.697058888888888006e+00, 9.999294222974438595e-01, -4.586666666675398574e-03, -4.729622664800778612e-04, 3.941352220665494954e-05
3.100000000000000000e+01, 3.168239999999999768e+01, 9.696653333333333791e+00, 9.998876027171957892e-01, -5.126666666665613548e-03, -5.286453240151348229e-04, 4.405377700122947715e-05
3.133330000000000126e+01, 3.201575555555555752e+01, 9.696204444444443737e+00, 9.998413147434414006e-01, -6.126666666666835681e-03, -6.317620972301977566e-04, 5.264684143585496301e-05
3.166669999999999874e+01, 3.234873333333333534e+01, 9.695632222222222651e+00, 9.997823090343240793e-01, -6.666666666667708796e-03, -6.874451547663537740e-04, 5.728709623054051292e-05
3.200000000000000000e+01, 3.268248888888888359e+01, 9.695093333333332453e+00, 9.997267405509803195e-01, -6.446666666668932066e-03, -6.647594646591937270e-04, 5.539662205494844116e-05
3.233330000000000126e+01, 3.302275555555556252e+01, 9.694557777777777829e+00, 9.996715157902141824e-01, -6.479999999999819238e-03, -6.681966904327727190e-04, 5.568305753606006547e-05
3.266669999999999874e+01, 3.335966666666666214e+01, 9.694013333333332483e+00, 9.996153744359081994e-01, -6.566666666664389140e-03, -6.771334774445177422e-04, 5.642778978703910653e-05
3.300000000000000000e+01, 3.369657777777777596e+01, 9.693463333333333765e+00, 9.995586602106401042e-01, -6.539999999997547775e-03, -6.743836968254347808e-04, 5.619864140210539816e-05
3.333330000000000126e+01, 3.404268888888888966e+01, 9.692923333333332891e+00, 9.995029771531039886e-01, -6.506666666666660603e-03, -6.709464710518557888e-04, 5.591220592099377384e-05
3.366669999999999874e+01, 3.437978888888888918e+01, 9.692378888888889321e+00, 9.994468357987981166e-01, -6.553333333336297528e-03, -6.757585871355257894e-04, 5.631321559462776349e-05
3.400000000000000000e+01, 3.472025555555555343e+01, 9.691831111111110175e+00, 9.993903507219147331e-01, -6.506666666666660603e-03, -6.709464710518557888e-04, 5.591220592099377384e-05
3.433330000000000126e+01, 3.505967777777778593e+01, 9.691294444444444878e+00, 9.993350113869561291e-01, -6.513333333320048268e-03, -6.716339162052527637e-04, 5.596949301711617863e-05
3.466669999999999874e+01, 3.540429999999999922e+01, 9.690745555555556834e+00, 9.992784117358805007e-01, -6.640000000000867431e-03, -6.846953741472708126e-04, 5.705794784560680455e-05
3.500000000000000000e+01, 3.574401111111111362e+01, 9.690187777777778066e+00, 9.992208954912649155e-01, -6.686666666681162496e-03, -6.895074902320397605e-04, 5.745895751935181650e-05
3.533330000000000126e+01, 3.608501111111111470e+01, 9.689631111111109973e+00, 9.991634938208417971e-01, -6.740000000004187086e-03, -6.950070514691067359e-04, 5.791725428905269979e-05
3.566669999999999874e+01, 3.642156666666667064e+01, 9.689064444444444035e+00, 9.991050609826868101e-01, -6.839999999986190460e-03, -7.053187287887447646e-04, 5.877656073238757273e-05
3.600000000000000000e+01, 3.676172222222222530e+01, 9.688491111111112275e+00, 9.990459406993770219e-01, -6.859999999999644160e-03, -7.073810642544307511e-04, 5.894842202125438746e-05
3.633330000000000126e+01, 3.710092222222222347e+01, 9.687921111111110761e+00, 9.989871641386443013e-01, -6.866666666685006248e-03, -7.080685094111247848e-04, 5.900570911759883685e-05
3.666669999999999874e+01, 3.744683333333333053e+01, 9.687346666666664774e+00, 9.989279292811418243e-01, -6.913333333343985032e-03, -7.128806254936958381e-04, 5.940671879112180420e-05
3.700000000000000000e+01, 3.778444444444443917e+01, 9.686768888888886764e+00, 9.988683507010620577e-01, -7.006666666661942600e-03, -7.225048576588377278e-04, 6.020873813822325005e-05
3.733330000000000126e+01, 3.812502222222222059e+01, 9.686178888888887784e+00, 9.988075118048653778e-01, -7.079999999987762749e-03, -7.300667543604917424e-04, 6.083889619667992577e-05
3.766669999999999874e+01, 3.846245555555556450e+01, 9.685588888888888803e+00, 9.987466729086686978e-01, -7.066666666649012996e-03, -7.286918640504007338e-04, 6.072432200421307158e-05
