# Temp_mean_R,Temp_mean_S, mass_mean, normalized_mass_mean, masslossrate_mean, normlized_masslossrate_mean, reacr_mean
3.000000000000000000e+01, 3.156407499999999899e+01, 8.539825000000000443e+00, 1.000000000000000000e+00, -3.840000000003840341e-03, -4.496579262460108882e-04, 3.747149385380232900e-05
3.008330000000000126e+01, 3.159819999999999851e+01, 8.539505000000000123e+00, 9.999625285061461977e-01, -3.435000000003185505e-03, -4.022330668372227098e-04, 3.351942223644988061e-05
3.016669999999999874e+01, 3.164592499999999831e+01, 8.539252499999999912e+00, 9.999329611555271002e-01, -2.684999999999604370e-03, -3.144092531169671964e-04, 2.620077109311003127e-05
3.025000000000000000e+01, 3.169532500000000041e+01, 8.539057500000000189e+00, 9.999101269639599776e-01, -2.055000000002138449e-03, -2.406372495926015307e-04, 2.005310413272232140e-05
3.033330000000000126e+01, 3.174722500000000025e+01, 8.538909999999999556e+00, 9.998928549472616556e-01, -1.260000000005589982e-03, -1.475440070499793566e-04, 1.229533392083093091e-05
3.041669999999999874e+01, 3.179992500000000177e+01, 8.538847499999999258e+00, 9.998855362961183157e-01, -4.799999999924864369e-04, -5.620724077981532863e-05, 4.683936731642024398e-06
3.050000000000000000e+01, 3.185907500000000070e+01, 8.538830000000000808e+00, 9.998834870737983715e-01, -8.999999998593466444e-05, -1.053885764473331295e-05, 8.782381370475711435e-07
3.058330000000000126e+01, 3.191919999999999646e+01, 8.538832500000001602e+00, 9.998837798198442206e-01, 1.394999999995150120e-03, 1.633522935183273639e-04, -1.361269112654106550e-05
3.066669999999999874e+01, 3.198644999999999783e+01, 8.539062500000000000e+00, 9.999107124560514537e-01, 1.964999999984229362e-03, 2.300983919441240526e-04, -1.917486599534168334e-05
3.075000000000000000e+01, 3.204932500000000317e+01, 8.539159999999998973e+00, 9.999221295518349040e-01, 8.849999999931412731e-04, 1.036321001886035342e-04, -8.636008349049983934e-06
3.083330000000000126e+01, 3.211820000000000164e+01, 8.539209999999998857e+00, 9.999279844727495536e-01, 4.200000000054160409e-04, 4.918133568374246961e-05, -4.098444640332488120e-06
3.091669999999999874e+01, 3.218252499999999827e+01, 8.539229999999999876e+00, 9.999303264411155689e-01, -2.999999999886426849e-04, -3.512952548660454945e-05, 2.927460457213815204e-06
3.100000000000000000e+01, 3.224442499999999967e+01, 8.539160000000000750e+00, 9.999221295518351260e-01, -7.500000000035811354e-04, -8.782381372025551336e-05, 7.318651143395360492e-06
3.108330000000000126e+01, 3.231850000000000023e+01, 8.539104999999999279e+00, 9.999156891388287782e-01, -8.100000000013096724e-04, -9.484971881757642460e-05, 7.904143234815919072e-06
3.116669999999999874e+01, 3.239707500000000095e+01, 8.539025000000000531e+00, 9.999063212653654942e-01, -1.080000000001746230e-03, -1.264662917567685842e-04, 1.053885764640272171e-05
3.125000000000000000e+01, 3.246847499999999798e+01, 8.538924999999998988e+00, 9.998946114235359728e-01, -1.634999999996722408e-03, -1.914559139088590611e-04, 1.595465949238983328e-05
3.133330000000000126e+01, 3.254139999999999588e+01, 8.538752500000001078e+00, 9.998744119463807145e-01, -1.859999999993533493e-03, -2.178030580244364942e-04, 1.815025483536958362e-05
3.141669999999999874e+01, 3.261695000000000277e+01, 8.538615000000000066e+00, 9.998583109138652336e-01, -1.545000000000129603e-03, -1.809170562628776874e-04, 1.507642135523123983e-05
