# Temp_mean_R,Temp_mean_S, mass_mean, normalized_mass_mean, masslossrate_mean, normlized_masslossrate_mean, reacr_mean
3.000000000000000000e+01, 3.217299999999999471e+01, 2.741260000000000030e+00, 9.997966677213200315e-01, -7.500000000003836931e-03, -2.735411820810041989e-03, 2.279509850675598415e-04
3.008330000000000126e+01, 3.216307499999999919e+01, 2.740634999999999710e+00, 9.995687167362524717e-01, -6.389999999997897362e-03, -2.330570871328196784e-03, 1.942142392774015569e-04
3.016669999999999874e+01, 3.216877500000000367e+01, 2.740195000000000380e+00, 9.994082392427652284e-01, -4.529999999999034799e-03, -1.652188739768068165e-03, 1.376823949806871283e-04
3.025000000000000000e+01, 3.217985000000000184e+01, 2.739879999999999871e+00, 9.992933519462910974e-01, -3.330000000001831495e-03, -1.214522848439705425e-03, 1.012102373699752533e-04
3.033330000000000126e+01, 3.220194999999999652e+01, 2.739640000000000075e+00, 9.992058187680252779e-01, -1.470000000000304397e-03, -5.361407168786049265e-04, 4.467839307320531361e-05
3.041669999999999874e+01, 3.224042500000000189e+01, 2.739634999999999820e+00, 9.992039951601446868e-01, 8.250000000007418066e-04, 3.008953002892212486e-04, -2.507460835743380301e-05
3.050000000000000000e+01, 3.226319999999999766e+01, 2.739777500000000199e+00, 9.992559679847401455e-01, 2.054999999999473914e-03, 7.495028389013761892e-04, -6.245856990844123047e-05
3.058330000000000126e+01, 3.229582500000000067e+01, 2.739977499999999733e+00, 9.993289122999615692e-01, 5.774999999999863576e-03, 2.106267102022604983e-03, -1.755222585019255988e-04
3.066669999999999874e+01, 3.234140000000000015e+01, 2.740740000000000176e+00, 9.996070125017439967e-01, 7.005000000003924754e-03, 2.554874640636703789e-03, -2.129062200530440485e-04
3.075000000000000000e+01, 3.238097499999999940e+01, 2.741145000000000387e+00, 9.997547247400676573e-01, 4.140000000000476632e-03, 1.509947325086544471e-03, -1.258289437571780134e-04
3.083330000000000126e+01, 3.243732500000000130e+01, 2.741430000000000256e+00, 9.998586703892583527e-01, 3.090000000000259206e-03, 1.126989670173255331e-03, -9.391580584777736718e-05
3.091669999999999874e+01, 3.248577499999999674e+01, 2.741660000000000430e+00, 9.999425563517632121e-01, 1.739999999998076419e-03, 6.346155424269035727e-04, -5.288462853558772991e-05
3.100000000000000000e+01, 3.253594999999999970e+01, 2.741719999999999935e+00, 9.999644396463295282e-01, 7.799999999971163334e-04, 2.844828293630471158e-04, -2.370690244696271876e-05
3.108330000000000126e+01, 3.259494999999999720e+01, 2.741789999999999949e+00, 9.999899701566571375e-01, 5.849999999991695177e-04, 2.133621220227712356e-04, -1.778017683523591685e-05
3.116669999999999874e+01, 3.265432500000000005e+01, 2.741817499999999797e+00, 1.000000000000000000e+00, 7.499999999982520649e-05, 2.735411820802267460e-05, -2.279509850655614400e-06
3.125000000000000000e+01, 3.271812500000000057e+01, 2.741802499999999920e+00, 9.999945291763584487e-01, -1.019999999998688622e-03, -3.720160076294971017e-04, 3.100133396910509376e-05
3.133330000000000126e+01, 3.278172499999999445e+01, 2.741647500000000015e+00, 9.999379973320617898e-01, -1.559999999999561737e-03, -5.689656587280377724e-04, 4.741380489403645981e-05
