# Temp_mean_R,Temp_mean_S, mass_mean, normalized_mass_mean, masslossrate_mean, normlized_masslossrate_mean, reacr_mean
3.000000000000000000e+01, 3.292036000000000229e+01, 1.985323999999999867e+00, 9.991484718794413356e-01, -6.095999999999435204e-03, -3.067916916622430695e-03, 2.556597430518614544e-04
3.008330000000000126e+01, 3.290670000000000073e+01, 1.984815999999999914e+00, 9.988928121363894741e-01, -4.967999999998973237e-03, -2.500231502916420209e-03, 2.083526252430467629e-04
3.016669999999999874e+01, 3.290274000000000143e+01, 1.984496000000000038e+00, 9.987317666289552420e-01, -3.107999999998778407e-03, -1.564154490954667003e-03, 1.303462075795680519e-04
3.025000000000000000e+01, 3.291212000000000160e+01, 1.984298000000000117e+00, 9.986321197212303380e-01, -1.307999999998976648e-03, -6.582735116370360328e-04, 5.485612596972666566e-05
3.033330000000000126e+01, 3.292911999999999750e+01, 1.984278000000000208e+00, 9.986220543770157887e-01, 7.559999999990907327e-04, 3.804700113129893310e-04, -3.170583427608564264e-05
3.041669999999999874e+01, 3.295835999999999899e+01, 1.984423999999999966e+00, 9.986955313897825093e-01, 2.459999999997464215e-03, 1.238037338399622551e-03, -1.031697781999629804e-04
3.050000000000000000e+01, 3.298279999999999745e+01, 1.984687999999999786e+00, 9.988283939334157147e-01, 3.491999999999162441e-03, 1.757409099875976120e-03, -1.464507583229801568e-04
3.058330000000000126e+01, 3.301032000000000011e+01, 1.985005999999999826e+00, 9.989884329064284696e-01, 6.744000000000749395e-03, 3.394034069177475146e-03, -2.828361724314665260e-04
3.066669999999999874e+01, 3.304218000000000188e+01, 1.985811999999999911e+00, 9.993940662782786477e-01, 7.596000000002600672e-03, 3.822817732722132589e-03, -3.185681443935162171e-04
3.075000000000000000e+01, 3.308896000000000015e+01, 1.986272000000000260e+00, 9.996255691952155020e-01, 4.751999999999423352e-03, 2.391525785398519038e-03, -1.992938154498635761e-04
3.083330000000000126e+01, 3.313497999999999877e+01, 1.986603999999999814e+00, 9.997926539091783749e-01, 3.599999999998271250e-03, 1.811761958634591470e-03, -1.509801632195717502e-04
3.091669999999999874e+01, 3.318361999999999767e+01, 1.986871999999999971e+00, 9.999275295216546455e-01, 1.848000000002514298e-03, 9.300378054341356055e-04, -7.750315045285116611e-05
3.100000000000000000e+01, 3.323488000000000397e+01, 1.986912000000000234e+00, 9.999476602100840772e-01, 6.960000000013621957e-04, 3.502739786702080914e-04, -2.918949822250382908e-05
3.108330000000000126e+01, 3.328261999999999432e+01, 1.986988000000000198e+00, 9.999859085180996532e-01, 6.239999999979595202e-04, 3.140387394957864283e-04, -2.616989495796140375e-05
3.116669999999999874e+01, 3.334099999999999397e+01, 1.987015999999999893e+00, 1.000000000000000000e+00, 8.399999999708640530e-05, 4.227444570002778337e-05, -3.522870475003436752e-06
3.125000000000000000e+01, 3.338884000000000185e+01, 1.987001999999999713e+00, 9.999929542590496601e-01, -1.139999999999474767e-03, -5.737246202342984481e-04, 4.781038501949774755e-05
3.133330000000000126e+01, 3.344912000000000063e+01, 1.986825999999999981e+00, 9.999043792299610045e-01, -1.667999999998670546e-03, -8.394497075004280677e-04, 6.995414229171714737e-05
3.141669999999999874e+01, 3.351046000000000191e+01, 1.986723999999999934e+00, 9.998530459744662258e-01, -1.200000000001200107e-03, -6.039206528790911537e-04, 5.032672107330160571e-05
3.150000000000000000e+01, 3.356833999999999918e+01, 1.986625999999999781e+00, 9.998037257878144013e-01, -1.259999999997596376e-03, -6.341166855212018684e-04, 5.284305712677239697e-05
3.158330000000000126e+01, 3.363255999999999801e+01, 1.986514000000000335e+00, 9.997473598602126810e-01, -1.331999999999666784e-03, -6.703519246949531151e-04, 5.586266039120380000e-05
3.166669999999999874e+01, 3.370112000000000307e+01, 1.986403999999999836e+00, 9.996920004670319937e-01, -1.272000000003270515e-03, -6.401558920528422920e-04, 5.334632433773300875e-05
3.175000000000000000e+01, 3.375919999999999987e+01, 1.986301999999999790e+00, 9.996406672115372150e-01, -1.187999999999522771e-03, -5.978814463494621419e-04, 4.982345386250752739e-05
3.183330000000000126e+01, 3.383061999999999614e+01, 1.986205999999999916e+00, 9.995923535593069786e-01, -1.175999999997845435e-03, -5.918422398198331302e-04, 4.932018665165793792e-05
3.191669999999999874e+01, 3.389536000000000371e+01, 1.986106000000000149e+00, 9.995420268382338991e-01, -1.092000000000759030e-03, -5.495677941198053333e-04, 4.579731617659899001e-05
3.200000000000000000e+01, 3.396699999999999875e+01, 1.986023999999999790e+00, 9.995007589269537807e-01, -9.720000000013051533e-04, -4.891757288322314424e-04, 4.076464406932434059e-05
3.208330000000000126e+01, 3.403690000000000282e+01, 1.985943999999999932e+00, 9.994604975500952504e-01, -9.479999999979504821e-04, -4.770973157729734189e-04, 3.975810964779169510e-05
3.216669999999999874e+01, 3.410902000000000100e+01, 1.985866000000000131e+00, 9.994212427076581973e-01, -9.119999999995798134e-04, -4.589796961874387910e-04, 3.824830801563150473e-05
3.225000000000000000e+01, 3.418149999999999977e+01, 1.985792000000000002e+00, 9.993840009340639874e-01, -7.679999999994358006e-04, -3.865092178419478721e-04, 3.220910148682420981e-05
3.233330000000000126e+01, 3.424530000000000030e+01, 1.985738000000000225e+00, 9.993568245046845488e-01, -6.600000000003269918e-04, -3.321563590833325223e-04, 2.767969659028812757e-05
3.241669999999999874e+01, 3.432023999999999830e+01, 1.985681999999999947e+00, 9.993286415408834111e-01, -6.360000000036336587e-04, -3.200779460274269061e-04, 2.667316216892201552e-05
3.250000000000000000e+01, 3.440065999999999491e+01, 1.985631999999999620e+00, 9.993034781803467048e-01, -6.119999999989467199e-04, -3.079995329674983578e-04, 2.566662774727834773e-05
3.258330000000000126e+01, 3.447083999999999548e+01, 1.985580000000000123e+00, 9.992773082853888544e-01, -5.279999999965312441e-04, -2.657250872647886242e-04, 2.214375727210837752e-05
3.266669999999999874e+01, 3.454205999999999932e+01, 1.985544000000000198e+00, 9.992591906658024881e-01, -4.080000000010741701e-04, -2.053330219792262265e-04, 1.711108516494475040e-05
3.275000000000000000e+01, 3.461836000000000979e+01, 1.985511999999999944e+00, 9.992430861150589649e-01, -3.960000000020613697e-04, -1.992938154509381831e-04, 1.660781795420618323e-05
3.283330000000000126e+01, 3.468936000000000064e+01, 1.985477999999999854e+00, 9.992259750298940757e-01, -3.959999999980645669e-04, -1.992938154489267170e-04, 1.660781795403964978e-05
3.291669999999999874e+01, 3.476333999999999946e+01, 1.985446000000000266e+00, 9.992098704791508856e-01, -4.079999999970773672e-04, -2.053330219772147604e-04, 1.711108516477821695e-05
3.300000000000000000e+01, 3.484660000000000224e+01, 1.985410000000000341e+00, 9.991917528595645193e-01, -3.840000000017163018e-04, -1.932546089219796420e-04, 1.610455074352312721e-05
3.308330000000000126e+01, 3.491371999999999787e+01, 1.985381999999999980e+00, 9.991776613776638394e-01, -3.120000000009781616e-04, -1.570193697488989472e-04, 1.308494747909172418e-05
3.316669999999999874e+01, 3.498702000000000112e+01, 1.985358000000000178e+00, 9.991655829646063358e-01, -2.999999999993008259e-04, -1.509801632192699083e-04, 1.258168026829764585e-05
3.325000000000000000e+01, 3.506305999999999301e+01, 1.985332000000000097e+00, 9.991524980171272441e-01, -2.640000000009301573e-04, -1.328625436337353076e-04, 1.107187863613745549e-05
3.333330000000000126e+01, 3.513611999999999114e+01, 1.985314000000000023e+00, 9.991434392073340609e-01, -2.279999999985626857e-04, -1.147449240461892136e-04, 9.562077003810731668e-06
3.341669999999999874e+01, 3.521516000000000446e+01, 1.985294000000000336e+00, 9.991333738631196226e-01, -2.039999999992048174e-04, -1.026665109889426291e-04, 8.555542582389108475e-06
3.350000000000000000e+01, 3.529129999999999967e+01, 1.985280000000000156e+00, 9.991263281221692827e-01, -1.800000000038437520e-04, -9.058809793370751063e-05, 7.549008161134018735e-06
3.358330000000000126e+01, 3.536589999999999634e+01, 1.985263999999999696e+00, 9.991182758467973546e-01, -1.800000000011792167e-04, -9.058809793236654228e-05, 7.549008161022996433e-06
3.366669999999999874e+01, 3.544487999999999772e+01, 1.985249999999999959e+00, 9.991112301058472367e-01, -1.919999999988597494e-04, -9.662730445998410150e-05, 8.052275371706052454e-06
3.375000000000000000e+01, 3.552239999999999753e+01, 1.985231999999999886e+00, 9.991021712960539425e-01, -1.919999999975274818e-04, -9.662730445931360377e-05, 8.052275371650541302e-06
3.383330000000000126e+01, 3.559528000000000247e+01, 1.985218000000000371e+00, 9.990951255551039356e-01, -1.919999999988597494e-04, -9.662730445998410150e-05, 8.052275371650541302e-06
3.391669999999999874e+01, 3.567873999999999057e+01, 1.985200000000000076e+00, 9.990860667453106414e-01, -1.920000000015242847e-04, -9.662730446132506985e-05, 8.052275371761563605e-06
3.400000000000000000e+01, 3.575511999999999802e+01, 1.985186000000000117e+00, 9.990790210043604125e-01, -1.680000000008341488e-04, -8.454889140340800116e-05, 7.045740950284429260e-06
3.408330000000000126e+01, 3.583207999999999771e+01, 1.985171999999999937e+00, 9.990719752634100725e-01, -2.040000000005370850e-04, -1.026665109896131132e-04, 8.555542582444619626e-06
3.416669999999999874e+01, 3.591028000000000020e+01, 1.985152000000000028e+00, 9.990619099191955232e-01, -2.519999999979205541e-04, -1.268233371034357981e-04, 1.056861142528786601e-05
3.425000000000000000e+01, 3.598940000000000339e+01, 1.985130000000000283e+00, 9.990508380405594968e-01, -2.399999999989077537e-04, -1.207841305751477411e-04, 1.006534421460480999e-05
3.433330000000000126e+01, 3.606158000000000641e+01, 1.985112000000000210e+00, 9.990417792307663136e-01, -2.520000000019173569e-04, -1.268233371054472371e-04, 1.056861142545439947e-05
3.441669999999999874e+01, 3.614094000000000761e+01, 1.985087999999999964e+00, 9.990297008177085880e-01, -2.640000000009301573e-04, -1.328625436337353076e-04, 1.107187863613745549e-05
3.450000000000000000e+01, 3.621499999999999631e+01, 1.985068000000000055e+00, 9.990196354734940387e-01, -2.879999999989557580e-04, -1.449409566903113943e-04, 1.207841305750356753e-05
3.458330000000000126e+01, 3.629433999999999827e+01, 1.985040000000000138e+00, 9.990055439915935809e-01, -4.320000000004320384e-04, -2.174114350364728110e-04, 1.811761958636637360e-05
3.466669999999999874e+01, 3.637588000000000932e+01, 1.984995999999999983e+00, 9.989834002343213060e-01, -4.559999999997899067e-04, -2.294898480937193955e-04, 1.912415400784350794e-05
3.475000000000000000e+01, 3.645701999999999998e+01, 1.984964000000000173e+00, 9.989672956835778939e-01, -3.359999999976714946e-04, -1.690977828048045362e-04, 1.409148190040232507e-05
3.483330000000000126e+01, 3.653108000000000288e+01, 1.984940000000000371e+00, 9.989552172705205013e-01, -3.000000000019653612e-04, -1.509801632206109038e-04, 1.258168026835315700e-05
3.491669999999999874e+01, 3.660876000000000374e+01, 1.984913999999999845e+00, 9.989421323230411875e-01, -3.360000000003360299e-04, -1.690977828061455317e-04, 1.409148190051334737e-05
3.500000000000000000e+01, 3.668829999999999103e+01, 1.984884000000000315e+00, 9.989270343067194746e-01, -2.759999999999429576e-04, -1.389017501620233509e-04, 1.157514584687602266e-05
